timestamp,mem_pressure,workers,worker_rss_mb
20:12:04,20%,2,483
20:12:15,26%,2,425
20:12:25,31%,2,187
20:12:35,25%,2,184
20:12:45,12%,2,239
20:12:55,21%,2,137
20:13:05,20%,2,139
20:13:15,20%,2,141
20:13:26,20%,2,137
20:13:36,18%,2,140
20:13:46,15%,2,218
20:13:56,34%,2,331
20:14:06,0%,2,34
20:14:22,9%,2,46
20:14:33,28%,2,80
20:14:43,26%,2,86
20:14:53,18%,2,98
20:15:03,21%,2,99
20:15:13,34%,2,298
20:15:23,34%,2,248
20:15:33,34%,2,248
20:15:44,9%,2,73
20:15:54,4%,2,31
20:16:04,8%,2,41
20:16:14,86%,0,0
20:16:24,87%,0,0
20:16:34,87%,0,0
20:16:44,87%,0,0
20:16:54,87%,0,0
20:17:05,88%,0,0
20:17:15,87%,0,0
20:17:25,87%,0,0
20:17:35,86%,0,0
20:17:45,86%,0,0
20:17:55,86%,0,0
20:18:05,87%,0,0
20:18:15,87%,0,0
20:18:25,87%,0,0
20:18:36,89%,0,0
20:18:46,89%,0,0
20:18:56,89%,0,0
20:19:06,89%,0,0
20:19:16,89%,0,0
20:19:26,88%,0,0
20:19:36,88%,0,0
20:19:46,87%,0,0
20:19:56,87%,0,0
20:20:06,87%,0,0
20:20:17,87%,0,0
